file,bytes,sha1,sheetId,title,records,decodedRecords,unknownRecords,recordBytes,residualBytes,unresolvedFields,engineeringObjects,functionBlocks,junctions,ioObjects,deviceTags,loopTags,irefs,orefs,connections,danglingWires,descriptions,parameters,specEntries,fcDecoded,unresolvedXrefs,trailerClean,warnings,coverage
2531014C.CAD,4293,5d67a6e5bd30,2531014,INITIAL RELEASE,154,154,0,3840,0,35,168,9,0,8,8,8,8,0,30,0,113,21,1,1,0,true,3,1
2531015C.CAD,3962,9c6dade30419,2531015,INITIAL RELEASE,148,148,0,3604,0,33,158,7,0,6,6,6,6,0,28,0,111,17,1,1,0,true,3,1
2531016C.CAD,3882,828e8a878305,2531016,INITIAL RELEASE,146,146,0,3524,0,29,154,6,0,5,5,5,5,0,27,0,111,17,1,1,0,true,2,1
2531017C.CAD,3890,d88f51a403c8,2531017,INITIAL RELEASE,143,143,0,3532,0,30,157,9,0,8,8,8,8,0,30,0,102,20,1,1,0,true,1,1
2531018C.CAD,2751,3a2f321918c6,2531018,INITIAL RELEASE,81,81,0,2394,0,14,95,10,0,8,8,8,8,0,8,0,61,20,1,1,0,true,3,1
2531019C.CAD,2751,5062a023c3d5,2531019,INITIAL RELEASE,81,81,0,2394,0,14,95,10,0,8,8,8,8,0,8,0,61,20,1,1,0,true,3,1
2531020C.CAD,2543,07ac25f4ef96,2531020,INITIAL RELEASE,76,76,0,2186,0,12,86,8,0,6,6,6,6,0,6,0,60,18,1,1,0,true,3,1
2531021C.CAD,2306,5766a219dd69,2531021,INITIAL RELEASE,66,66,0,1926,0,8,73,8,0,4,5,5,4,0,5,0,51,15,3,1,0,true,3,1
2531022C.CAD,3761,19dcf07a0ec1,2531022,INITIAL RELEASE,115,115,0,3412,0,17,141,16,0,14,14,14,0,14,14,0,83,20,2,2,0,true,3,1
2531023C.CAD,3635,7c3885da5ced,2531023,INITIAL RELEASE,112,112,0,3314,0,16,138,16,0,14,14,14,0,14,14,0,80,20,2,2,0,true,2,1
2531024C.CAD,3893,2dde5522ff84,2531024,INITIAL RELEASE,119,119,0,3572,0,18,149,18,0,16,16,16,0,16,16,0,83,22,2,2,0,true,2,1
2531025C.CAD,3210,1faffc7ff2a8,2531025,INITIAL RELEASE,97,97,0,2888,0,14,123,16,0,14,14,14,0,14,14,0,65,20,2,2,0,true,1,1
2531026C.CAD,3617,0d8e4cea00f5,2531026,INITIAL RELEASE,111,111,0,3296,0,16,137,16,0,14,14,14,0,14,14,0,79,20,2,2,0,true,2,1
